epoch,train_loss,train_acc,val_loss,val_acc,prec_macro,rec_macro,f1_macro,prec_weighted,rec_weighted,f1_weighted
0,0.537032533777655,0.8185087280607749,1.258049586083214,0.7127395315826828,0.42015734774180136,0.373434151017736,0.3725913393569825,0.7904068301506967,0.8185087280607749,0.7916815125759761
1,0.30852832963663795,0.8945488318925484,1.5864410985015316,0.7137154009936125,0.5123758899649148,0.45684928893980653,0.4728777588522293,0.8819075630181729,0.8945488318925484,0.8814611848370218
2,0.2715929139740216,0.9095282322402419,1.6133665850688752,0.7169091554293825,0.5225340153330102,0.49099043272564924,0.503419103473015,0.9003898774262373,0.9095282322402419,0.9023424394390496
3,0.2569395304213545,0.9120922737411985,1.6785768451971563,0.7125177430801988,0.5228696414755685,0.5008791620688218,0.5101435241770631,0.904192657137131,0.9120922737411985,0.9063278154813702
4,0.2439560941099675,0.9117350543370405,1.6895071505400372,0.7132274662881476,0.5028760308450441,0.5267538219665545,0.5123865153161107,0.9143852143515687,0.9117350543370405,0.9116604883245675
5,0.2393754561521184,0.9133306343422797,1.615594011194068,0.7178406671398154,0.5037000414744428,0.5372388622686936,0.5160312202198853,0.9204708081455161,0.9133306343422797,0.9145343645302065
6,0.2361087946076521,0.9158787994252736,1.6131769903929543,0.7323012775017743,0.5062187824863622,0.5453041166948023,0.519978325605226,0.9252059230999823,0.9158787994252736,0.9174875859792039
7,0.23076831850479937,0.919863780333881,1.7843204526887708,0.712473385379702,0.5098147700829985,0.5526238416207516,0.5246679904201991,0.9298374540623471,0.919863780333881,0.9214193142545575
8,0.22770616858914908,0.9197923364530495,1.5508536899910488,0.7337207239176721,0.5098748026934913,0.5528922803953995,0.5247342904679827,0.929943464341581,0.9197923364530495,0.9213772580257444
9,0.22488841531580903,0.9207211069038603,1.628655662597537,0.7165099361249113,0.5107883053867178,0.5543309479515378,0.5258453256102549,0.9307828561728588,0.9207211069038603,0.92223494451884
